candidate,count,absolute_psnr_mean,absolute_ssim_mean,delta_vs_a0_mean,delta_vs_a0_median,delta_vs_a0_p01,delta_vs_a0_p05,delta_vs_a0_cvar5,delta_vs_a0_worst,delta_vs_a0_p95,hard_bottom25_delta,easy_top25_delta,hard_easy_tradeoff,positive_ratio_delta_gt_0,gain_ge_0p20_count,severe_count_delta_le_-0p20,strong_reference_count,strong_reference_regression_count_delta_le_-0p05,locked_test_touched
A0_official_ConvIR-B,600,36.860144929091135,0.9942902571956317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,150,0,False
WDMamba_standalone_fullimage,600,40.43798237641652,0.9958664531509082,3.5778374473253884,3.4749627113342285,-4.844575309753418,-2.9604604244232178,-4.091734250386556,-6.374998092651367,10.332606911659235,8.27647393544515,-1.0483469168345134,9.324820852279663,0.7683333333333333,455,124,150,105,False
ConvIR-L_standalone_fullimage,600,37.95465067625046,0.995233125090599,1.094505747159322,1.0357391834259033,-3.990258479118347,-1.9131779670715332,-3.0930519104003906,-7.209136486053467,4.162138104438779,1.4338636875152588,0.6014831066131592,0.8323805809020997,0.7183333333333334,414,147,150,38,False
FullUDP_standalone_fullimage,600,36.42880967458089,,-0.43133525451024374,-0.4009997844696045,-5.2330246925354,-3.674822235107422,-4.644233353932699,-8.423680305480957,2.4823731660842756,0.004916814168294271,-0.8841802024841309,0.8890970166524251,0.405,214,329,150,95,False
