candidate,bucket,count,mean_delta,median_delta,p01_delta,p05_delta,cvar5_delta,worst_delta,severe_count_delta_le_-0p20,positive_ratio_delta_gt_0
A0_official_ConvIR-B,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
A0_official_ConvIR-B,hard_bottom25,150,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
A0_official_ConvIR-B,easy_top25,150,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
A0_official_ConvIR-B,strong_reference,150,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
A0_official_ConvIR-B,val_hard,300,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
A0_official_ConvIR-B,val_regular,300,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
WDMamba_standalone_fullimage,all,600,3.5778374473253884,3.4749627113342285,-4.844575309753418,-2.9604604244232178,-4.091734250386556,-6.374998092651367,124,0.7683333333333333
WDMamba_standalone_fullimage,hard_bottom25,150,8.27647393544515,8.2095468044281,1.4624489784240722,3.773356318473816,2.356734573841095,0.8550524711608887,0,1.0
WDMamba_standalone_fullimage,easy_top25,150,-1.0483469168345134,-1.1382842063903809,-5.553645348548889,-4.493891000747681,-5.182010233402252,-6.374998092651367,100,0.28
WDMamba_standalone_fullimage,strong_reference,150,-1.0483469168345134,-1.1382842063903809,-5.553645348548889,-4.493891000747681,-5.182010233402252,-6.374998092651367,100,0.28
WDMamba_standalone_fullimage,val_hard,300,5.704975851376852,5.915241241455078,-2.9613672256469727,0.5669925212860106,-1.248579978942871,-5.717580318450928,7,0.9633333333333334
WDMamba_standalone_fullimage,val_regular,300,1.4506990432739257,0.6148779392242432,-4.968970990180969,-3.6380913257598877,-4.641706784566243,-6.374998092651367,117,0.5733333333333334
ConvIR-L_standalone_fullimage,all,600,1.094505747159322,1.0357391834259033,-3.990258479118347,-1.9131779670715332,-3.0930519104003906,-7.209136486053467,147,0.7183333333333334
ConvIR-L_standalone_fullimage,hard_bottom25,150,1.4338636875152588,1.580277681350708,-2.6291787147521974,-1.8765150308609009,-2.4356505274772644,-4.020166397094727,40,0.68
ConvIR-L_standalone_fullimage,easy_top25,150,0.6014831066131592,0.6825399398803711,-4.426320123672485,-2.625241279602051,-3.8350990414619446,-7.209136486053467,36,0.7266666666666667
ConvIR-L_standalone_fullimage,strong_reference,150,0.6014831066131592,0.6825399398803711,-4.426320123672485,-2.625241279602051,-3.8350990414619446,-7.209136486053467,36,0.7266666666666667
ConvIR-L_standalone_fullimage,val_hard,300,1.229037888844808,1.1501336097717285,-3.79560329914093,-1.7975443601608276,-2.892500877380371,-4.804210662841797,76,0.7033333333333334
ConvIR-L_standalone_fullimage,val_regular,300,0.9599736054738363,0.9619832038879395,-4.362636137008667,-2.0285059213638306,-3.2820510864257812,-7.209136486053467,71,0.7333333333333333
FullUDP_standalone_fullimage,all,600,-0.43133525451024374,-0.4009997844696045,-5.2330246925354,-3.674822235107422,-4.644233353932699,-8.423680305480957,329,0.405
FullUDP_standalone_fullimage,hard_bottom25,150,0.004916814168294271,-0.1248769760131836,-4.3484453773498535,-2.9924748659133913,-3.961275815963745,-5.526864528656006,74,0.49333333333333335
FullUDP_standalone_fullimage,easy_top25,150,-0.8841802024841309,-0.5941143035888672,-6.545231199264526,-4.442386722564697,-5.906778931617737,-8.423680305480957,86,0.3466666666666667
FullUDP_standalone_fullimage,strong_reference,150,-0.8841802024841309,-0.5941143035888672,-6.545231199264526,-4.442386722564697,-5.906778931617737,-8.423680305480957,86,0.3466666666666667
FullUDP_standalone_fullimage,val_hard,300,-0.19809367815653484,-0.32045531272888184,-4.05579402923584,-3.3447877407073974,-3.792157777150472,-4.630389213562012,161,0.4166666666666667
FullUDP_standalone_fullimage,val_regular,300,-0.6645768308639526,-0.5111966133117676,-5.796201486587524,-4.221805906295776,-5.307024701436361,-8.423680305480957,168,0.3933333333333333
