policy,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,worst_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_mse_gain
A0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
W_U_G_1_ACTION_ALL,0.03306524052036514,-0.0013316832596181882,-0.28457284311443165,-0.8744957773724522,0.49833333333333335,91,19,-5.834582119253658e-07
W_U_G_D_ACTION_HARD,0.012783813961729357,-0.0010759805321356453,-0.12151199691896011,-0.40053883645291677,0.485,23,0,-7.947499261717894e-07
OUTPUT_D7C_GAIN_ORACLE_POS,0.0782542212862073,0.03624842770391723,0.002091605570710442,-0.0015797692883054992,0.995,0,0,2.372331559854501e-06
OUTPUT_GLOBAL_GAIN_ORACLE_POS,0.2330726764214531,0.16187114358817922,0.020846290059333937,-0.005843252252262232,0.9966666666666667,0,0,5.7375583552736015e-06
ACTION_OPEN_POSITIVE_GRAD,0.4126536107342323,0.3394897784462181,0.060538600476758124,-0.00024148151366887305,0.9933333333333333,0,0,2.3238470162141313e-05
ACTION_CLOSE_FILTER_POSITIVE_GRAD,0.4126756445332392,0.338480543513775,0.06007471847125814,-0.00024148151366887305,0.9933333333333333,0,0,2.3234261817985195e-05
ACTION_OPEN_TOP_0.25,0.36259478688129687,0.29899932042456356,0.052371401962405174,-0.00024148151366887305,0.9966666666666667,0,0,2.066957719155956e-05
ACTION_CLOSE_KEEP_0.25,0.001388733456526546,0.001142245476049908,0.0003624330275506793,-0.00024148151366887305,0.9816666666666667,0,0,6.461883306959257e-08
ACTION_OPEN_TOP_0.5,0.4117045463881026,0.33818029021220397,0.06077173794563464,-0.0005985447974339309,0.995,0,0,2.320090635445619e-05
ACTION_CLOSE_KEEP_0.5,0.001388733456526546,0.001142245476049908,0.0003624330275506793,-0.00024148151366887305,0.9816666666666667,0,0,6.461883306959257e-08
ACTION_OPEN_TOP_0.75,0.3631122360944429,0.28872359112618895,0.049680125230709395,-0.005186050635856532,0.9916666666666667,0,0,2.0354959134844344e-05
ACTION_CLOSE_KEEP_0.75,0.001388733456526546,0.001142245476049908,0.0003624330275506793,-0.00024148151366887305,0.9816666666666667,0,0,6.461883306959257e-08
ACTION_OPEN_TOP_1,0.012783813961729357,-0.0010759805321356453,-0.12151199691896011,-0.40053883645291677,0.485,23,0,-7.947499261717894e-07
ACTION_CLOSE_KEEP_1,0.012783813961729357,-0.0010759805321356453,-0.12151199691896011,-0.40053883645291677,0.485,23,0,-7.947499261717894e-07
