cell,epoch,updates,render,anchor,harm,margin,repair,delta_abs,total,cvar,gradient_norm
output_render_only,1,8,0.0003220874186808942,1.5066916603245772e-09,2.91086507786531e-07,2.270540022664136e-06,0.0016785728294053115,1.5696056493652577e-05,0.0003220874186808942,0.0,8.042550859954645e-06
output_render_only,2,8,0.0003219770260329824,6.000163921271451e-09,3.027627144547296e-07,2.3124601895574415e-06,0.005731087119784206,5.358994576454279e-05,0.0003219770260329824,0.0,8.14210608268695e-06
output_render_only,3,8,0.0003218354358978104,1.1748056749638636e-08,3.1756610496813664e-07,2.365793591252441e-06,0.01085943728685379,0.00010153915718547069,0.0003218354358978104,0.0,8.446171818832227e-06
output_render_only,4,8,0.0003216314344172133,2.0156221580691636e-08,3.3900550988619216e-07,2.442656381163033e-06,0.018184332875534892,0.00017002071035676636,0.0003216314344172133,0.0,9.2281219394863e-06
output_render_only,5,8,0.00032131504849530756,3.585284957807744e-08,3.730340267793508e-07,2.5636092217951045e-06,0.029532118933275342,0.00027610696270130575,0.00032131504849530756,0.0,1.1039923037969857e-05
output_render_only,6,8,0.00032081411700346507,6.356913218041882e-08,4.2998362914659083e-07,2.761957972552409e-06,0.047722474206238985,0.00044615605656872503,0.00032081411700346507,0.0,1.4347208548315393e-05
output_render_only,7,8,0.0003200602004653774,1.0857263532670913e-07,5.240628979663597e-07,3.0773821038110327e-06,0.07592247147113085,0.0007097770139807835,0.0003200602004653774,0.0,1.8768958966575156e-05
output_render_only,8,8,0.00031903407762001734,1.7309230315731838e-07,6.716701363984612e-07,3.5408393728175724e-06,0.11618604976683855,0.0010861877162824385,0.00031903407762001734,0.0,2.3026730559649877e-05
output_render_only,9,8,0.00031779573146195617,2.55149757322215e-07,9.028033218783094e-07,4.158064228931835e-06,0.16801338829100132,0.0015707628335803747,0.00031779573146195617,0.0,2.54055872801473e-05
output_render_only,10,8,0.00031648949152440764,3.456405011093011e-07,1.1782182127717533e-06,4.888849446160748e-06,0.22716332972049713,0.0021239330526441336,0.00031648949152440764,0.0,2.464712156324822e-05
output_render_only,11,8,0.00031530078558716923,4.3189652387809474e-07,1.4607651337428251e-06,5.6438172606476655e-06,0.2861028481274843,0.002675324125448242,0.00031530078558716923,0.0,2.1265280906845874e-05
output_render_only,12,8,0.000314362112476374,5.009658252674853e-07,1.712574771772779e-06,6.32216058704671e-06,0.33735209703445435,0.0031549757986795157,0.000314362112476374,0.0,1.7054034060492995e-05
output_render_only,13,8,0.00031369774842460174,5.544076202568249e-07,1.9085310896116425e-06,6.863101063458998e-06,0.37712376564741135,0.0035273647808935493,0.00031369774842460174,0.0,1.3252527025997551e-05
output_render_only,14,8,0.0003132548172288807,6.040437483534333e-07,2.057040092040552e-06,7.260856236257496e-06,0.4057801216840744,0.0037957768072374165,0.0003132548172288807,0.0,1.0405373558342035e-05
output_render_only,15,8,0.0003129626147710951,6.390207545337034e-07,2.17233753119217e-06,7.5425943180107424e-06,0.42578156664967537,0.003983174334280193,0.0003129626147710951,0.0,8.61424437914593e-06
output_render_only,16,8,0.0003127657364530023,6.633645170950331e-07,2.253195816592779e-06,7.741251295101392e-06,0.4397442080080509,0.004114017356187105,0.0003127657364530023,0.0,7.38552296297712e-06
