variant,epoch,steps,loss_mean,smooth_l1_mean,ordinal_loss_mean,pair_loss_mean,ldhn_positive_loss_mean,tail_loss_mean,elapsed_sec,target_mode,core_only,ldhn_protection
f4_global_strat_control,1,300,0.9765564213196437,0.02892917113378644,4.427398349444071,0.11032694657643637,0.057383007258176806,0.0049623027483661035,29.83178734779358,global,False,True
f4_global_strat_control,2,300,0.907148107290268,0.026348706912249328,4.119751312732697,0.09287826200326284,0.05671648104364673,0.004267901516480682,28.89232039451599,global,False,True
f4_global_strat_control,3,300,0.896179083387057,0.02583583983282248,4.071360448996226,0.09164714184279243,0.05715470923731725,0.004006142147700302,28.904821634292603,global,False,True
f4_global_strat_control,4,300,0.8951955872774124,0.02599781612555186,4.073310050169627,0.09072604900846878,0.055771203755090634,0.003897635302710114,28.93032932281494,global,False,True
f4_global_strat_control,5,300,0.8882187447945277,0.02564854357391596,4.042755002975464,0.09436826636393865,0.05685942138855656,0.003379730599068959,28.85286784172058,global,False,True
f4_global_strat_control,6,300,0.8853425949811935,0.025524715594947338,4.031923137505849,0.09135768764962753,0.05651459251220028,0.003418977663871677,28.93108057975769,global,False,True
f4_excess_strat_ldhn,1,300,0.9741840767860412,0.0405335260865589,4.407069477240245,0.12072155108054479,0.06110609360660116,0.002872123916995406,29.785781621932983,excess,True,True
f4_excess_strat_ldhn,2,300,0.9167882645130158,0.036450948311636845,4.143383328914642,0.10600921912739675,0.05875072034696738,0.003287004759525492,29.700321912765503,excess,True,True
f4_excess_strat_ldhn,3,300,0.8960595709085465,0.035133451347549756,4.043153656323751,0.10411410388226311,0.05749775643150012,0.0035608598323112043,29.386977195739746,excess,True,True
f4_excess_strat_ldhn,4,300,0.8912943635384242,0.03456864024822911,4.028127436637878,0.10333892993008097,0.057493573253353435,0.003230505807005102,29.393523693084717,excess,True,True
f4_excess_strat_ldhn,5,300,0.8863172670205434,0.034423980632176,4.005442058245341,0.10535250599185626,0.05739606620122989,0.003051237768619709,29.501027822494507,excess,True,True
f4_excess_strat_ldhn,6,300,0.8863016450405121,0.034224087291707596,4.010712870756785,0.10004251232991616,0.05615240120639404,0.003260219550866168,29.373786449432373,excess,True,True
