threshold,coverage,recall,precision,false_global,false_per_image_mean,false_per_image_p90,false_per_image_p95,ldhn_recall,ldhn_precision,ldhn_per_image_recall_p50,ldhn_per_image_recall_p75,ldhn_per_image_recall_p90,ldhn_images_with_support,pearson,spearman,auroc,auprc,auroc_high_vs_hard_negative,monotonic_pairs,monotonic_valid_pairs,target_high_prevalence,variant,target_contract,selected_threshold_train_coverage
6.650158201892964e-11,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.2798194770255002,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.05,0.9950850423177083,0.9999770377996089,0.4273821406563264,0.9677544813779341,0.98582216682513,1.0,1.0,0.9998913599471285,0.28347559152328555,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.06120102737719814,0.99108642578125,0.999955989115917,0.42909741535677304,0.9476612036839269,0.9755620344563852,1.0,1.0,0.9997917732319963,0.2858498087147391,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.08542837003866832,0.9828299967447917,0.9999234593320296,0.43268804418972734,0.9156005827464957,0.9570561000992805,1.0,1.0,0.9996604998347766,0.2898273409242431,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.1,0.97809814453125,0.9999004971316384,0.43477132209600405,0.8999097826814627,0.9468312717311147,1.0,1.0,0.9995563864507747,0.29185517670709804,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.11201858092099429,0.9744803873697917,0.9998794484479466,0.43637622380717556,0.8889466251390717,0.9396111915799825,1.0,1.0,0.9994613264045121,0.29331962345664253,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.13958711524804435,0.96628173828125,0.999779945579585,0.4400349681269565,0.8650533812367105,0.9234187809350742,1.0,1.0,0.9990539262062441,0.29663280159025635,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.15,0.963128662109375,0.999731150903754,0.44145400160964265,0.8566564760414044,0.9178039434963567,1.0,1.0,0.998877386120328,0.2978638679850167,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.1666553138444821,0.9578788248697917,0.9995723290177153,0.44380295851930457,0.84144385964353,0.9074088687301466,1.0,1.0,0.9983206058493616,0.30007184025340017,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
0.19151933789253234,0.9495556640625,0.9992910420629241,0.4475670501039583,0.8149588602651687,0.8888301483468476,1.0,1.0,0.9974107454065627,0.3041002419375986,1.0,1.0,1.0,599,0.532043013716581,0.517865754298486,0.8476874205259104,0.6417597376825755,0.9383471412762078,4,4,0.42529134114583333,f4_global_strat_control,global_v2e_contract,0.5031057000160217
